uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"d9aebd0c-a0a6-4c63-a2c7-b6cc6ff9b72a","CPER_063.basePlot.vst","2017-09-14",,"D10","CPER","CPER_063","tower","grasslandHerbaceous",40.818369,-104.747802,"WGS84",10.1,521268.37,4518625.21,"13N",1651.2,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"sscherneck@battelleecology.org","nleder@battelleecology.org",
"d18849e6-837b-4e96-8aec-276ccf4d4439","CPER_047.basePlot.vst","2017-09-14",,"D10","CPER","CPER_047","tower","grasslandHerbaceous",40.818371,-104.746715,"WGS84",20.1,521360.03,4518625.70,"13N",1649.3,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","kbenson@battelleecology.org",
"431d6184-0a27-40f2-b04b-58aeb6d27da5","CPER_072.basePlot.vst","2017-09-14",,"D10","CPER","CPER_072","tower","grasslandHerbaceous",40.817821,-104.746715,"WGS84",10.1,521360.21,4518564.65,"13N",1654.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","kbenson@battelleecology.org",
"3b7e8018-9d81-4a89-b187-1500e6681e35","CPER_064.basePlot.vst","2017-09-14",,"D10","CPER","CPER_064","tower","grasslandHerbaceous",40.818358,-104.745994,"WGS84",10.1,521420.84,4518624.43,"13N",1648.5,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","kbenson@battelleecology.org",
"b2fd689c-9eba-4718-b4da-ced80170404e","CPER_067.basePlot.vst","2017-09-18",,"D10","CPER","CPER_067","tower","grasslandHerbaceous",40.818646,-104.745295,"WGS84",10.1,521479.70,4518656.57,"13N",1645.5,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"nleder@battelleecology.org","sscherneck@battelleecology.org",
"3b8cea97-6dc1-49f7-8e77-e4014c5457c4","CPER_061.basePlot.vst","2017-09-18",,"D10","CPER","CPER_061","tower","grasslandHerbaceous",40.818121,-104.750648,"WGS84",10.1,521028.44,4518597.00,"13N",1652.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"f7e86c54-1060-4665-b9b4-609d102bcedb","CPER_073.basePlot.vst","2017-09-18",,"D10","CPER","CPER_073","tower","grasslandHerbaceous",40.819188,-104.744585,"WGS84",10.1,521539.40,4518716.91,"13N",1644.4,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"nleder@battelleecology.org","sscherneck@battelleecology.org",
"869c2a0b-2944-4241-9481-6660294f1e60","CPER_058.basePlot.vst","2017-09-18",,"D10","CPER","CPER_058","tower","grasslandHerbaceous",40.820271,-104.745646,"WGS84",10.1,521449.57,4518836.87,"13N",1647.0,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"kbenson@battelleecology.org","jmorris@battelleecology.org",
"7e5324ca-0d84-42fc-a605-b909921d12a7","CPER_053.basePlot.vst","2017-09-18",,"D10","CPER","CPER_053","tower","grasslandHerbaceous",40.817842,-104.749919,"WGS84",10.1,521090.00,4518566.20,"13N",1651.5,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"06b1c5b9-fcac-4499-807a-7aaefe65e3fe","CPER_055.basePlot.vst","2017-09-18",,"D10","CPER","CPER_055","tower","grasslandHerbaceous",40.819185,-104.745645,"WGS84",10.1,521450.01,4518716.32,"13N",1645.2,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"nleder@battelleecology.org","sscherneck@battelleecology.org",
"c94951ea-0ece-4600-9a1b-1b4954d625b2","CPER_070.basePlot.vst","2017-09-18",,"D10","CPER","CPER_070","tower","grasslandHerbaceous",40.817815,-104.744224,"WGS84",10.1,521570.29,4518564.59,"13N",1648.4,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","atworek@battelleecology.org",
"5a660f2d-5862-42b1-90cc-aede4bafa123","CPER_074.basePlot.vst","2017-09-18",,"D10","CPER","CPER_074","tower","grasslandHerbaceous",40.820001,-104.746711,"WGS84",10.1,521359.85,4518806.64,"13N",1646.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"kbenson@battelleecology.org","jmorris@battelleecology.org",
"a6a7c720-e1e3-4832-915d-1d3e20b26fa1","CPER_071.basePlot.vst","2017-09-18",,"D10","CPER","CPER_071","tower","grasslandHerbaceous",40.819728,-104.745640,"WGS84",10.1,521450.25,4518776.60,"13N",1645.2,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"kbenson@battelleecology.org","jmorris@battelleecology.org",
"9980baa2-c1fa-4c6a-bdb0-689c61ad6c39","CPER_068.basePlot.vst","2017-09-18",,"D10","CPER","CPER_068","tower","grasslandHerbaceous",40.819722,-104.744935,"WGS84",10.1,521509.71,4518776.10,"13N",1645.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,"May not meet 20 individuals","kbenson@battelleecology.org","jmorris@battelleecology.org",
"c385f83e-ea61-4c08-b101-07d0e0cfe4f3","CPER_050.basePlot.vst","2017-09-18",,"D10","CPER","CPER_050","tower","grasslandHerbaceous",40.818645,-104.744577,"WGS84",10.1,521540.25,4518656.64,"13N",1645.4,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"nleder@battelleecology.org","sscherneck@battelleecology.org",
"aff39df2-28ab-41b6-812f-c1d9b085f03f","CPER_057.basePlot.vst","2017-09-18",,"D10","CPER","CPER_057","tower","grasslandHerbaceous",40.817822,-104.744930,"WGS84",10.1,521510.74,4518565.19,"13N",1650.3,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","atworek@battelleecology.org",
"c51340d4-529e-441f-9a14-c028e1d23f9a","CPER_049.basePlot.vst","2017-09-18",,"D10","CPER","CPER_049","tower","grasslandHerbaceous",40.817272,-104.744580,"WGS84",10.1,521540.44,4518504.23,"13N",1654.3,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","atworek@battelleecology.org",
"d2500157-b1c9-495e-983c-bf19646312ca","CPER_065.basePlot.vst","2017-09-18",,"D10","CPER","CPER_065","tower","grasslandHerbaceous",40.818362,-104.743864,"WGS84",10.1,521600.47,4518625.40,"13N",1645.6,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","atworek@battelleecology.org",
"1b4457c8-c7ff-41cf-ba4b-9d1298646345","CPER_066.basePlot.vst","2017-09-18",,"D10","CPER","CPER_066","tower","grasslandHerbaceous",40.816751,-104.749576,"WGS84",10.1,521119.27,4518445.18,"13N",1651.2,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"155e91a4-7e53-4834-8809-db1afe6853a8","CPER_045.basePlot.vst","2017-09-18",,"D10","CPER","CPER_045","tower","grasslandHerbaceous",40.817292,-104.750288,"WGS84",20.1,521059.06,4518505.06,"13N",1652.0,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"1c19f84f-5f40-4e20-8c6c-4a525ba6e934","CPER_003.basePlot.vst","2017-09-19",,"D10","CPER","CPER_003","distributed","grasslandHerbaceous",40.818451,-104.707164,"WGS84",20.1,524695.42,4518644.97,"13N",1623.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","Jlinden@battelleecology.org",
"9b28fb07-c946-4232-bba0-89f558b359e5","CPER_007.basePlot.vst","2017-09-19",,"D10","CPER","CPER_007","distributed","grasslandHerbaceous",40.861915,-104.683832,"WGS84",20.1,526645.65,4523476.60,"13N",1646.7,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"db259f4a-087a-49ed-820e-6a2c97a786c6","CPER_013.basePlot.vst","2017-09-20",,"D10","CPER","CPER_013","distributed","grasslandHerbaceous",40.821979,-104.712840,"WGS84",20.1,524215.47,4519035.02,"13N",1623.6,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"nleder@battelleecology.org","jmorris@battelleecology.org",
"fb7dd2fe-c544-4d7b-8005-94caa41d5b85","CPER_020.basePlot.vst","2017-09-20",,"D10","CPER","CPER_020","distributed","grasslandHerbaceous",40.785746,-104.707657,"WGS84",20.1,524665.95,4515014.38,"13N",1604.3,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"Jlinden@battelleecology.org","szrillo@battelleecology.org",
"e55b37fb-5f5c-4f64-aa6f-db04df000dd8","CPER_017.basePlot.vst","2017-09-21",,"D10","CPER","CPER_017","distributed","grasslandHerbaceous",40.856261,-104.691691,"WGS84",20.1,525985.53,4522846.60,"13N",1640.4,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"jmorris@battelleecology.org","Pjudge@battelleecology.org",
"b4cc64fd-6650-4ce5-bda0-e75d001275ab","CPER_010.basePlot.vst","2017-09-21",,"D10","CPER","CPER_010","distributed","grasslandHerbaceous",40.850010,-104.681398,"WGS84",20.1,526855.59,4522155.81,"13N",1646.2,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"jmorris@battelleecology.org","Pjudge@battelleecology.org",
"b394fe46-b23a-41b5-8653-fa6650edf106","CPER_014.basePlot.vst","2017-09-21",,"D10","CPER","CPER_014","distributed","grasslandHerbaceous",40.807905,-104.697947,"WGS84",20.1,525476.75,4517476.94,"13N",1611.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"kbenson@battelleecology.org","szrillo@battelleecology.org",
"5f00b710-ce8a-49ae-9d23-2016ebd06e28","CPER_005.basePlot.vst","2017-09-21",,"D10","CPER","CPER_005","distributed","grasslandHerbaceous",40.853093,-104.728006,"WGS84",20.1,522925.84,4522484.80,"13N",1664.4,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"Jlinden@battelleecology.org","sscherneck@battelleecology.org",
"2d3ebe66-d558-4b4a-bba3-a79371343f14","CPER_002.basePlot.vst","2017-09-25",,"D10","CPER","CPER_002","distributed","grasslandHerbaceous",40.810934,-104.729248,"WGS84",20.1,522835.61,4517804.55,"13N",1651.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"588ee38a-0bde-42b7-86b5-6357cbb483f3","CPER_004.basePlot.vst","2017-09-25",,"D10","CPER","CPER_004","distributed","grasslandHerbaceous",40.812750,-104.696873,"WGS84",20.1,525565.47,4518015.08,"13N",1622.7,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"Jlinden@battelleecology.org","Pjudge@battelleecology.org",
"a7a6d6d0-88e5-4533-a174-dc939edbbd57","CPER_016.basePlot.vst","2017-09-25",,"D10","CPER","CPER_016","distributed","grasslandHerbaceous",40.804501,-104.756306,"WGS84",20.1,520555.49,4517083.75,"13N",1640.3,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"33ca4b1d-a92d-4e70-a2e1-db95bd5c7cfb","CPER_012.basePlot.vst","2017-09-25",,"D10","CPER","CPER_012","distributed","grasslandHerbaceous",40.802126,-104.771251,"WGS84",20.1,519295.57,4516816.72,"13N",1644.6,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"8909513c-c75f-47a7-8fed-bd99294c8c78","CPER_019.basePlot.vst","2017-09-25",,"D10","CPER","CPER_019","distributed","grasslandHerbaceous",40.824819,-104.785759,"WGS84",20.1,518065.62,4519332.69,"13N",1666.0,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"d6f444f0-a241-498e-ac57-28813dafeb77","CPER_009.basePlot.vst","2017-09-25",,"D10","CPER","CPER_009","distributed","grasslandHerbaceous",40.826120,-104.745903,"WGS84",20.1,521426.02,4519486.09,"13N",1656.6,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"8f9665f0-0f38-4c1f-a14a-765966e246b8","CPER_011.basePlot.vst","2017-09-25",,"D10","CPER","CPER_011","distributed","grasslandHerbaceous",40.866286,-104.703366,"WGS84",20.1,524997.74,4523956.05,"13N",1649.7,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"Jlinden@battelleecology.org","Pjudge@battelleecology.org",
"e5539844-7cf7-4aab-9185-3a2ae7a71ef6","CPER_018.basePlot.vst","2017-09-25",,"D10","CPER","CPER_018","distributed","grasslandHerbaceous",40.825715,-104.695047,"WGS84",20.1,525714.47,4519454.81,"13N",1627.7,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"9a7870b3-33bb-4292-b468-5bb078a9f628","CPER_008.basePlot.vst","2017-09-25",,"D10","CPER","CPER_008","distributed","grasslandHerbaceous",40.798822,-104.749212,"WGS84",20.1,521155.66,4516455.04,"13N",1644.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"d23a7bab-020c-40d6-80f2-3f260730886a","CPER_001.basePlot.vst","2017-09-25",,"D10","CPER","CPER_001","distributed","grasslandHerbaceous",40.850866,-104.699535,"WGS84",20.1,525326.45,4522245.42,"13N",1637.9,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"atworek@battelleecology.org","nleder@battelleecology.org",
"e3095630-0313-4975-bcdd-5c42ec734135","CPER_015.basePlot.vst","2017-09-25",,"D10","CPER","CPER_015","distributed","grasslandHerbaceous",40.853133,-104.744736,"WGS84",20.1,521515.69,4522484.99,"13N",1670.5,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","Y","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected",400,400,400,400,,"atworek@battelleecology.org","nleder@battelleecology.org",
"1fb489b0-fb33-442d-a75d-6433ce2c1dc1","CPER_006.basePlot.vst","2017-09-25",,"D10","CPER","CPER_006","distributed","grasslandHerbaceous",40.814769,-104.748078,"WGS84",20.1,521246.24,4518225.52,"13N",1650.0,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
